fertilizerid,Price,name of fertilizer,manufacturedate,expirydate,,ModifiedDate
BG97VIEI29664579859946,30 588,Zinc Ammonium Sulfate Solution,04/06/2021,07/08/2022,,12/19/2020
SE6486817253112581918341,6 351,Zinc Manganese Amm Sulfate,09-20-2021,08/11/2022,,07/08/2020
GT49448457284435741435266127,10 247,Nitrogen Product - Code Unknown,02/07/2021,12/16/2022,,11/02/2020
MT61RIUY22012363021323467347744,492,Ammonium Metaphosphate,02/02/2021,12/11/2022,,07/28/2020
MT14LNDH29571226356823187493875,13 189,Ammonium Phosphate,08-24-2021,05/10/2022,,10/13/2020
FO7955524667214606,11 169,Diammonium Phosphate,10-28-2021,03/12/2022,,10/16/2020
AT625565268989564933,89 257,Ammonium Polyphosphate,10/07/2021,11/25/2022,,12/21/2020
GT78804434582074816337332705,15 372,Basic Lime Phosphate,12/09/2021,06/02/2022,,12/28/2020
IT669WOKHI34253286247718475,51 344,Ammonium Phosphate Nitrat,07/02/2021,10/13/2022,,09/18/2020
PK3666882612559337685371,880,Ammonium Phosphate Sulfate,10/04/2021,01/08/2023,,11/23/2020
LV72PRHH4074937636728,60 045,Basic Slag,04-20-2021,08/24/2022,,08/14/2020
SM4303321977826254577562642,67 505,Monoammonium Phosphate,11/10/2021,08/25/2022,,12/15/2020
DE52521660522923344664,17 546,Bone Black Spent,01-20-2022,08/24/2022,,10/15/2020
MT78BKKQ78376021246331271546672,16 880,"Bone Meal, Raw",05/05/2021,02/14/2022,,10/19/2020
MT70JQBS80633933822692282418107,15 936,"Bone Meal, Steamed",12-30-2021,05/11/2022,,10/05/2020
IE40JLDR21911021348064,44 709,"Bone, Precipitated",12/05/2021,11/09/2022,,07/14/2020
AL64577823362873343132273202,31 809,Calcium Metaphosphate,11/10/2021,11/25/2022,,06/12/2020
LB73196767262559578871175077,85 166,Colloidal Phosphate (Soft),10-29-2021,10/14/2022,,11/01/2020
AT356889111603403817,4 061,"Limestone, Phosphatic",07/10/2021,02/07/2022,,08/08/2020
HR3441450597060489512,28 447,Magnesium Phosphate,12/04/2021,03/06/2022,,06/09/2020
MT71ERUC57161318920455745388235,82 703,Nitric Phosphate,11-18-2021,05/26/2022,,06/03/2020
TN2808458252674805383511,14 094,Phosphate Rock,04-26-2021,09/03/2022,,06/25/2020
DE37362944392853042044,11 704,Phosphoric Acid,07-20-2021,02/27/2022,,07/07/2020
MU5063837711277162162189113579,42 768,Liquid Amm Polyphosphate,07/09/2021,08/02/2022,,06/14/2020
DE48585423510433165972,63 523,Precipitated Phosphate,08-15-2021,10/11/2022,,07/14/2020
SM5514884835727582311239574,24 425,"Superphosphate, Normal",04-25-2021,07/18/2022,,06/03/2020
IE11VGKO42140831855477,34 002,"Superphosphate, Enriched",06-19-2021,11/14/2022,,11/18/2020
RO88LUIP9845112551137017,89 542,"Superphosphate, Triple",08/12/2021,02/09/2022,,12/18/2020
MK34112244173504166,14 445,Superphosphoric Acid,01/11/2022,07/01/2022,,11/08/2020
LV41OGFI9484877584583,51 625,Phosphate Product - Code Unknow,02/08/2021,10/21/2022,,10/19/2020
GB95CWEM86642744461613,12 904,Phosphate - Code/Grade Unknown,06-23-2021,11/02/2022,,09/17/2020
MD1829032654733836867342,76 342,Lime-Potash Mixtures,04-21-2021,01/05/2023,,06/15/2020
HU09519245817691683461745525,38 154,Manure Salts,02/10/2021,09/17/2022,,07/20/2020
NL21JFFW8543745930,49 220,Potash Suspensions,09-24-2021,04/09/2022,,09/18/2020
AD8126565632762244852966,88 538,Potassium Carbonate,11-19-2021,09/05/2022,,12/03/2020
SE0875977021969583614624,46 237,Muriate of Potash 60%,03/09/2021,04/24/2022,,06/01/2020
NL69TCSB2039262641,52 468,Muriate of Potash 62%,07-17-2021,05/05/2022,,08/25/2020
TN0479453684337308393445,21 243,Potassium - Magnesium Sulfate,01/02/2022,07/29/2022,,12/14/2020
TN8150827702781533319267,75 285,Potassium - Metaphosphate,04-29-2021,04/24/2022,,09/03/2020
KZ579660662772069492,39 938,Potassium Nitrate,12-28-2021,03/16/2022,,09/20/2020
DO34403814683172380326157683,86 200,Potassium - Sodium Nitrate,07-27-2021,12/18/2022,,06/10/2020
SE8245445885255801173645,44 837,Potassium Sulfate,03-15-2021,02/21/2022,,10/02/2020
ME41415136175498363406,71 535,Tobacco Stems,12/12/2021,10/23/2022,,08/28/2020
DK8523953269633681,59 313,Potash Product - Code Unknown,02/10/2021,04/22/2022,,11/07/2020
FO8387960168039117,67 417,Potash - Code/Grade Unknow,05-23-2021,07/23/2022,,12/16/2020
SK8352965782751475131236,21 430,"Blood, Dried",01-21-2022,11/13/2022,,10/23/2020
DO69834474822357438766414462,42 772,"Blood, Dried",09-21-2021,06/10/2022,,11/29/2020
IS897516234726610761174743,18 037,name of fertilizer,09-29-2021,07/30/2022,,12/08/2020
BA434737211562791726,51 771,Anhydrous Ammonia,12/06/2021,12/10/2022,,08/03/2020
BH65800484301604752336,61 139,Aqua Ammonia,10-23-2021,02/06/2022,,12/12/2020
SE9150577535534770902479,15 956,Ammonium Nitrate,01-21-2022,04/30/2022,,07/31/2020
AE681579382303452723486,70 839,Ammonium Nitrate Solution,09/08/2021,03/31/2022,,09/17/2020
DE45845321941626512332,90 445,Amm Nitrate-Limestone Mixtures,06/10/2021,08/19/2022,,07/02/2020
GL7687023172002511,36 973,Ammonium Nitrate - Sulfate,07-20-2021,09/07/2022,,08/04/2020
GB51UGEM86562495151276,74 546,Ammonium Polysulfide,08-28-2021,05/13/2022,,06/03/2020
LT955666888836136068,61 074,Ammonium Sulfate,03/11/2021,03/21/2022,,11/29/2020
ES4230282375653667499863,51 647,Ammonium Sulfate Solution,06-21-2021,09/02/2022,,07/24/2020
AD6786344533791461537186,87 069,Ammonium Sulfate - Nitrate,03-15-2021,12/24/2022,,12/09/2020
DK2750415616232861,51 684,Ammonium Sulfate - Urea,08/08/2021,02/03/2022,,12/01/2020
AL87678477183485327783437378,90 462,Ammonium Thiosulfate,12-17-2021,03/08/2022,,09/04/2020
FO9648267544257652,54 224,Calcium Ammonium Nitrate,11/01/2021,03/17/2022,,12/10/2020
MR8767838625411527107538723,15 700,Calcium Cyanamide,04-25-2021,03/27/2022,,08/27/2020
RS55427141940171313450,89 656,Calcium Nitrate,05/04/2021,02/28/2022,,06/26/2020
AZ82573164113831798517236355,822,Calcium Nitrate - Urea,07-14-2021,10/08/2022,,10/23/2020
VG3922762831147386813370,49 109,Nitric Acid,11/02/2021,02/24/2022,,07/11/2020
PT41153759747136659828383,72 540,Nitrogen Solution < 28%,05-23-2021,04/16/2022,,06/10/2020
AE342689374553739455375,21 005,Sodium Nitrate,07/06/2021,07/20/2022,,12/18/2020
SM6282776411551533524628578,79 661,Sulfur Coated Urea,06/04/2021,03/19/2022,,11/21/2020
CH4948301274446716731,84 909,Urea,06-23-2021,11/01/2022,,06/15/2020
AZ25561352152376284050657528,52 059,Urea Solution,09/05/2021,03/23/2022,,08/13/2020
RO04OWUP2283045418813373,3 041,Urea - Formaldehyde,01-24-2021,11/30/2022,,07/12/2020
MU1937715446528481925334683111,78 526,Zinc Ammonium Sulfate Solution,01-26-2021,04/20/2022,,10/27/2020
IT156ABMKI28354085260709419,14 140,Zinc Manganese Amm Sulfate,03/04/2021,03/20/2022,,11/27/2020
BE19177241231769,53 899,Nitrogen Product - Code Unknown,03-31-2021,11/08/2022,,12/10/2020
PT73818416242750553774027,49 677,Ammonium Metaphosphate,09-23-2021,02/16/2022,,08/15/2020
BG48EFEF22415003143552,42 336,Ammonium Phosphate,03/12/2021,03/21/2022,,11/01/2020
FO3747749468288757,75 001,Diammonium Phosphate,02-21-2021,06/24/2022,,06/30/2020
LU697176763385554358,25 220,Ammonium Polyphosphate,05-29-2021,10/26/2022,,09/24/2020
CR6987112527098239805,12 059,Basic Lime Phosphate,01-31-2022,08/01/2022,,11/30/2020
CZ1278347741263471252553,64 913,Ammonium Phosphate Nitrat,06/08/2021,01/03/2023,,10/11/2020
BG15YQKO69347283786361,88 086,Ammonium Phosphate Sulfate,02/08/2021,04/09/2022,,10/14/2020
MD6852383867320847188312,38 229,Basic Slag,04-15-2021,09/04/2022,,10/01/2020
LV54JKHM1668671646888,59 991,Monoammonium Phosphate,10-31-2021,03/31/2022,,11/13/2020
FR1916566882334581071882806,35 166,Bone Black Spent,10/12/2021,09/02/2022,,07/19/2020
AT557582877840436274,47 286,"Bone Meal, Raw",06-23-2021,06/30/2022,,12/16/2020
CZ7993439700623364517543,93 558,"Bone Meal, Steamed",11-26-2021,05/06/2022,,11/07/2020
ES1925793550183168354579,21 594,"Bone, Precipitated",01/02/2022,03/12/2022,,07/21/2020
GB97RMHJ82833561429825,83 160,Calcium Metaphosphate,10-24-2021,09/25/2022,,07/16/2020
VG8266587794246838655783,83 430,Colloidal Phosphate (Soft),12-21-2021,07/14/2022,,07/21/2020
ME61321216169424783451,32 011,"Limestone, Phosphatic",08/12/2021,11/12/2022,,06/25/2020
PK6029411967519907657762,81 773,Magnesium Phosphate,01/12/2022,12/09/2022,,11/25/2020
KW3058626867389056449514701615,34 233,Nitric Phosphate,04/09/2021,07/19/2022,,11/06/2020
GE88767006682746465961,12 642,Phosphate Rock,10/07/2021,11/14/2022,,11/28/2020
LI0224604270151888285,88 758,Phosphoric Acid,06/08/2021,09/07/2022,,07/28/2020
DK4528782055516248,26 395,Liquid Amm Polyphosphate,08-24-2021,05/19/2022,,06/08/2020
SE0641182487356164121153,31 833,Precipitated Phosphate,09-23-2021,06/24/2022,,08/24/2020
ES6018918658233360625615,21 915,"Superphosphate, Normal",09-28-2021,12/23/2022,,10/28/2020
CZ0307982478848224068010,55 825,"Superphosphate, Enriched",03-29-2021,12/17/2022,,07/01/2020
SK9867312624663537153102,57 111,"Superphosphate, Triple",10/10/2021,10/06/2022,,10/30/2020
TN8783450569055588618340,3 837,Superphosphoric Acid,06-22-2021,01/06/2023,,12/24/2020
RO93BMVY7627737811431397,38 665,Phosphate Product - Code Unknow,01/03/2022,03/07/2022,,10/24/2020
SE0461383742809370677856,32 572,Phosphate - Code/Grade Unknown,05-22-2021,04/23/2022,,09/23/2020
GE84467077804567623526,42 539,Lime-Potash Mixtures,10/03/2021,12/16/2022,,10/25/2020
GR2136934834066412965135673,47 813,Manure Salts,08/07/2021,02/07/2022,,06/09/2020
IE26UOEH71216257221628,12 041,Potash Suspensions,12-14-2021,07/31/2022,,11/24/2020
IE73YLWH41473285231241,33 650,Potassium Carbonate,07-22-2021,01/11/2023,,10/22/2020
IE56XSMO64071816820351,99 089,Muriate of Potash 60%,08/04/2021,06/30/2022,,09/09/2020
GE75807681635026591266,14 556,Muriate of Potash 62%,03/06/2021,09/07/2022,,09/12/2020
TR341763443553582865326645,14 359,Potassium - Magnesium Sulfate,07-19-2021,10/04/2022,,10/19/2020
CZ8343949528942123053152,16 606,Potassium - Metaphosphate,01-14-2021,03/22/2022,,11/27/2020
BG22GWKK84201137574320,88 400,Potassium Nitrate,12/01/2021,11/11/2022,,06/22/2020
TR290510119578367297815474,33 239,Potassium - Sodium Nitrate,03/05/2021,06/10/2022,,09/14/2020
BH13782243877334875185,7 062,Potassium Sulfate,05/09/2021,05/15/2022,,11/22/2020
BG29BUCM66538596737446,94 180,Tobacco Stems,11-24-2021,04/04/2022,,07/19/2020
AT588322123532332486,18 424,Potash Product - Code Unknown,12/08/2021,08/27/2022,,08/10/2020
AZ66251839955608433806129535,42 860,Potash - Code/Grade Unknow,01-21-2022,08/02/2022,,10/31/2020
DE35320072298618375113,97 180,"Blood, Dried",12/05/2021,09/05/2022,,10/18/2020
AD9637955327556276294218,62 932,name of fertilizer,01/03/2022,07/02/2022,,08/24/2020
EE874617766473853388,58 661,Anhydrous Ammonia,09-30-2021,02/21/2022,,06/28/2020
IS159810930468868364458187,23 192,Aqua Ammonia,01-16-2021,03/22/2022,,10/09/2020
BA526313748897123346,57 386,Ammonium Nitrate,08/03/2021,10/23/2022,,06/12/2020
EE764537114478243784,84 886,Ammonium Nitrate Solution,07-15-2021,11/16/2022,,10/17/2020
NO4048673176524,54 504,Amm Nitrate-Limestone Mixtures,05-19-2021,12/23/2022,,12/17/2020
BA897112482666633257,11 921,Ammonium Nitrate - Sulfate,05-18-2021,03/03/2022,,10/22/2020
BG19NXHM02515986744660,37 396,Ammonium Polysulfide,02-28-2021,06/27/2022,,10/13/2020
GT21779318422629898038716416,17 570,Ammonium Sulfate,08-18-2021,10/24/2022,,06/14/2020
GB34HKKL33376821153677,19 598,Ammonium Sulfate Solution,10-31-2021,07/03/2022,,09/27/2020
CH9221654271125692577,77 430,Ammonium Sulfate - Nitrate,05-16-2021,02/24/2022,,11/17/2020
IS321866011672774381236549,74 440,Ammonium Sulfate - Urea,07-26-2021,11/07/2022,,07/26/2020
KZ988273575233825206,82 536,Ammonium Thiosulfate,08-13-2021,06/30/2022,,07/12/2020
SA6496699884908860442834,48 248,Calcium Ammonium Nitrate,03/10/2021,08/10/2022,,08/13/2020
GE48235267846083620264,35 058,Calcium Cyanamide,03-30-2021,11/16/2022,,10/08/2020
GE89665341318324825298,12 828,Calcium Nitrate,11-18-2021,08/12/2022,,06/29/2020
NL66HWBW6364263668,54 544,Calcium Nitrate - Urea,04/09/2021,12/18/2022,,10/13/2020
MK66426527465951116,5 981,Nitric Acid,09/02/2021,07/21/2022,,06/15/2020
MR7950712811581581745486595,37 077,Nitrogen Solution < 28%,01/06/2022,12/11/2022,,11/18/2020
IE83ATJF34856957128186,57 170,Sodium Nitrate,03-18-2021,12/28/2022,,11/19/2020
SE5654251051436262422164,69 736,Sulfur Coated Urea,12-16-2021,06/13/2022,,06/15/2020
ME88272122366268840152,19 186,Urea,09-15-2021,05/23/2022,,10/10/2020
ES0364579174832632115827,29 042,Urea Solution,07-15-2021,10/21/2022,,10/12/2020
MR8381484864212937129544451,61 553,Urea - Formaldehyde,12-30-2021,09/19/2022,,07/02/2020
AD9212023053558507136524,34 473,Zinc Ammonium Sulfate Solution,02/05/2021,03/29/2022,,09/15/2020
IL255552131824470369856,64 232,Zinc Manganese Amm Sulfate,05/01/2021,03/15/2022,,10/02/2020
GT52328722222878296118575268,6 226,Nitrogen Product - Code Unknown,12-25-2021,11/24/2022,,08/18/2020
BH41723605473384668310,1 261,Ammonium Metaphosphate,04-22-2021,09/11/2022,,06/17/2020
BH65767428394662599118,34 349,Ammonium Phosphate,06/04/2021,06/09/2022,,07/10/2020
PL02877264425111438817368476,86 545,Diammonium Phosphate,09-28-2021,03/15/2022,,08/06/2020
AL16078157761611407354448584,72 951,Ammonium Polyphosphate,04/05/2021,09/30/2022,,07/18/2020
NO3142925166109,24 834,Basic Lime Phosphate,03-23-2021,10/26/2022,,10/11/2020
BE72000769201819,27 880,Ammonium Phosphate Nitrat,02-22-2021,06/17/2022,,06/12/2020
PT55422481420602120710121,45 637,Ammonium Phosphate Sulfate,10-23-2021,05/27/2022,,12/16/2020
MT53LOSP75196944842636567355652,97 149,Basic Slag,02/05/2021,11/29/2022,,11/04/2020
FI9552465474732520,19 952,Monoammonium Phosphate,05-16-2021,06/15/2022,,09/13/2020
FO0336528822663362,75 622,Bone Black Spent,06/10/2021,09/18/2022,,07/15/2020
LB42893766282184766541657864,55 033,"Bone Meal, Raw",10/09/2021,08/21/2022,,08/12/2020
MU2628768146307463237850787617,61 501,"Bone Meal, Steamed",10-19-2021,03/16/2022,,10/31/2020
SK5466575188523685024062,64 884,"Bone, Precipitated",03-25-2021,08/13/2022,,11/26/2020
HU29851807770613755054746121,40 133,Calcium Metaphosphate,06/09/2021,06/18/2022,,08/22/2020
GB67OTME10970330433834,94 734,Colloidal Phosphate (Soft),01-21-2022,05/24/2022,,12/21/2020
IE11YLTB81923578116955,7 875,"Limestone, Phosphatic",08/01/2021,01/10/2023,,10/16/2020
DK0880872885465758,61 890,Magnesium Phosphate,01-29-2021,10/24/2022,,06/25/2020
PL95156262335434418535769515,5 383,Nitric Phosphate,12/12/2021,02/22/2022,,11/16/2020
SM5093683693732878697846883,72 010,Phosphate Rock,11-18-2021,09/29/2022,,06/02/2020
NL91EECD2240675347,91 893,Phosphoric Acid,04-13-2021,09/15/2022,,10/05/2020
PK9553328964279441733652,83 142,Liquid Amm Polyphosphate,07-30-2021,11/15/2022,,06/22/2020
FO7248612792417653,80 708,Precipitated Phosphate,05-28-2021,11/01/2022,,12/27/2020
EE556183767146513732,69 791,"Superphosphate, Normal",12/01/2021,06/25/2022,,09/10/2020
CZ2676772366810411225426,73 903,"Superphosphate, Enriched",02-21-2021,09/25/2022,,10/01/2020
NL68VAEB4105982104,72 305,"Superphosphate, Triple",07-13-2021,04/12/2022,,07/16/2020
DO65658788692128894777028948,21 910,Superphosphoric Acid,03-30-2021,09/08/2022,,08/17/2020
HR8501187638108162712,67 761,Phosphate Product - Code Unknow,05/04/2021,06/12/2022,,10/28/2020
AD7154815531173884539225,81 426,Phosphate - Code/Grade Unknown,01-17-2021,09/28/2022,,11/13/2020
IL623130873328511961237,71 398,Lime-Potash Mixtures,03/03/2021,06/16/2022,,10/01/2020
RO53WSGQ8184333704332132,94 423,Manure Salts,03/05/2021,08/09/2022,,06/30/2020
PT27545561456900435477955,11 083,Potash Suspensions,08-15-2021,12/01/2022,,12/25/2020
FR2053282318821024549553369,24 068,Potassium Carbonate,09-13-2021,08/30/2022,,08/19/2020
GT17033481474142429522471393,67 579,Muriate of Potash 60%,02-22-2021,09/24/2022,,10/05/2020
AT347276405182597025,10 685,Muriate of Potash 62%,07/04/2021,10/11/2022,,10/24/2020
HU57571355741345088518166156,62 503,Potassium - Magnesium Sulfate,11/08/2021,12/18/2022,,10/27/2020
AD8245016076003706705731,97 595,Potassium - Metaphosphate,09-24-2021,04/02/2022,,11/22/2020
NL69XXLI6586064410,35 543,Potassium Nitrate,04-30-2021,08/14/2022,,10/25/2020
PT33518257401120247352318,57 643,Potassium - Sodium Nitrate,09/06/2021,10/05/2022,,07/31/2020
BH49743774694586250864,19 877,Potassium Sulfate,02-16-2021,08/07/2022,,09/26/2020
HR2783652214254110236,28 283,Tobacco Stems,01-15-2022,07/04/2022,,07/29/2020
GL4925087076196051,35 278,Potash Product - Code Unknown,01-30-2021,01/05/2023,,08/22/2020
ES0347784660397731568031,70 319,Potash - Code/Grade Unknow,06/03/2021,11/23/2022,,07/10/2020
MT02GCER13126655116414426092882,92 472,"Blood, Dried",05-23-2021,09/16/2022,,07/12/2020
GE12544148026249234678,56 709,,12-30-2021,04/09/2022,,10/11/2020
DE04417623966623558656,70 802,name of fertilizer,05/10/2021,02/25/2022,,06/09/2020
FO2856325312562013,6 924,Anhydrous Ammonia,10-13-2021,03/08/2022,,08/03/2020
BH76611761367965352040,13 198,Aqua Ammonia,01-18-2022,01/08/2023,,10/11/2020
BG20QHPN25377745936446,58 526,Ammonium Nitrate,10-28-2021,01/07/2023,,09/29/2020
BG09PWTH10721734760679,60 318,Ammonium Nitrate Solution,01-21-2022,03/13/2022,,07/25/2020
IS216288946276343915419252,19 300,Amm Nitrate-Limestone Mixtures,02-27-2021,11/03/2022,,10/12/2020
GE69783486778687362312,16 234,Ammonium Nitrate - Sulfate,01/12/2021,05/21/2022,,10/17/2020
MU0254729769638756466764260453,602,Ammonium Polysulfide,07-27-2021,12/04/2022,,08/05/2020
LB60507129115152525416244480,45 619,Ammonium Sulfate,10/12/2021,03/15/2022,,07/31/2020
IE40LOIB54481940823577,55 563,Ammonium Sulfate Solution,06-20-2021,05/11/2022,,12/22/2020
AT629653016251863454,64 780,Ammonium Sulfate - Nitrate,09-28-2021,05/09/2022,,10/08/2020
BA633354145346903027,83 032,Ammonium Sulfate - Urea,11-26-2021,06/24/2022,,07/21/2020
AT057564139376445721,77 830,Ammonium Thiosulfate,02/05/2021,09/29/2022,,07/31/2020
DO85571417380551932131283731,46 273,Calcium Ammonium Nitrate,05-28-2021,08/04/2022,,08/23/2020
AZ73273146808755562156426851,52 265,Calcium Cyanamide,05-14-2021,07/19/2022,,12/15/2020
MT56LGMO83112548818265333487582,29 300,Calcium Nitrate,01-27-2021,07/03/2022,,09/06/2020
AD4411011369379791348876,22 530,Calcium Nitrate - Urea,12/02/2021,12/14/2022,,08/08/2020
GB42TTBD05887853812672,69 900,Nitric Acid,06/06/2021,02/13/2022,,10/14/2020
VG5315466554017284947316,76 000,Nitrogen Solution < 28%,07-15-2021,05/18/2022,,06/24/2020
LI2075535114849227711,23 860,Sodium Nitrate,11-23-2021,04/11/2022,,12/03/2020
RO34VNWN2401671825983153,90 690,Sulfur Coated Urea,06/03/2021,06/15/2022,,08/18/2020
HU30491421425567594628188243,36 050,Urea,07/03/2021,06/09/2022,,10/23/2020
TR877177024777165398634790,65 531,Urea Solution,07-28-2021,04/30/2022,,06/03/2020
FI1788637156764447,44 184,Urea - Formaldehyde,08/02/2021,10/24/2022,,07/17/2020
BE46867785862338,6 367,Zinc Ammonium Sulfate Solution,11-22-2021,06/08/2022,,10/25/2020
PL06754684654084443134815511,14 649,Zinc Manganese Amm Sulfate,03/05/2021,11/18/2022,,12/01/2020
GB35GLFR31960136813623,20 090,Nitrogen Product - Code Unknown,07/10/2021,10/20/2022,,10/06/2020
PL71706787435832193595081707,23 919,Ammonium Metaphosphate,03/11/2021,12/11/2022,,09/03/2020
GR6721337809511412239865153,88 756,Ammonium Phosphate,01-23-2022,10/14/2022,,11/11/2020
PK6455924157351745634668,1 089,Diammonium Phosphate,10/03/2021,10/21/2022,,06/13/2020
AL80104694324693118456821269,41 910,Ammonium Polyphosphate,08-23-2021,05/03/2022,,09/01/2020
IT151WGMUI50433843468123027,34 769,Basic Lime Phosphate,07-29-2021,12/31/2022,,10/06/2020
DK1522128239846211,39 658,Ammonium Phosphate Nitrat,06-28-2021,02/19/2022,,10/03/2020
HU26033112151132306185204215,50 379,Ammonium Phosphate Sulfate,02-17-2021,08/16/2022,,07/06/2020
AZ62533768882662822555843471,82 990,Basic Slag,11/04/2021,12/30/2022,,08/13/2020
IL396561629738747814470,89 919,Monoammonium Phosphate,04-28-2021,10/20/2022,,08/09/2020
SA2547639542432315176653,45 214,Bone Black Spent,09/11/2021,10/02/2022,,12/14/2020
MK62142122421489332,36 742,"Bone Meal, Raw",08-25-2021,01/05/2023,,08/01/2020
GE10602753444773874028,15 263,"Bone Meal, Steamed",08-21-2021,08/15/2022,,10/01/2020
HR5320951526554265767,34 393,"Bone, Precipitated",03-25-2021,06/21/2022,,12/20/2020
RO85BFCD1815204246265292,62 213,Calcium Metaphosphate,06/06/2021,05/17/2022,,06/20/2020
EE977568245153872759,35 492,Colloidal Phosphate (Soft),02/02/2021,08/14/2022,,08/05/2020
TN0556060349362287552525,95 862,"Limestone, Phosphatic",09/08/2021,06/07/2022,,12/13/2020
CH9511956128974788822,36 681,Magnesium Phosphate,06-15-2021,10/28/2022,,06/08/2020
DO73121688207374978857631036,61 254,Nitric Phosphate,03-15-2021,05/01/2022,,08/19/2020
CR9366325162025701307,17 310,Phosphate Rock,12/03/2021,01/12/2023,,11/16/2020
PS865525266277676990144737479,31 033,Phosphoric Acid,07-23-2021,08/17/2022,,08/24/2020
CH2937358416577392576,91 828,Liquid Amm Polyphosphate,12/04/2021,07/03/2022,,12/13/2020
BA479516374256640202,37 754,Precipitated Phosphate,11-25-2021,11/06/2022,,10/30/2020
CY92257386944844476731542186,22 256,"Superphosphate, Normal",06-16-2021,04/08/2022,,11/16/2020
FR4322677187616618077548735,55 382,"Superphosphate, Enriched",04/05/2021,05/24/2022,,10/30/2020
RS88670277480516281270,39 926,"Superphosphate, Triple",05/12/2021,03/15/2022,,07/10/2020
NL58YAFU2032774509,90 888,Superphosphoric Acid,02/02/2021,02/14/2022,,10/18/2020
GR7677438473687153827966759,81 395,Phosphate Product - Code Unknow,01-30-2021,09/15/2022,,11/02/2020
VG6806654517112801615976,4 694,Phosphate - Code/Grade Unknown,03/09/2021,12/29/2022,,09/12/2020
AT925201661121497413,41 856,Lime-Potash Mixtures,03/08/2021,02/12/2022,,10/10/2020
SI65128495226675891,27 466,Manure Salts,02-18-2021,08/26/2022,,07/17/2020
SI56348532633721773,8 128,Potash Suspensions,04/04/2021,08/03/2022,,09/27/2020
CY06026798521871430158317372,35 221,Potassium Carbonate,06/10/2021,03/27/2022,,08/26/2020
NO3945741323121,47 083,Muriate of Potash 60%,02/03/2021,09/30/2022,,11/23/2020
AD2927114762714285781415,27 162,Muriate of Potash 62%,07/12/2021,09/23/2022,,11/10/2020
IS216324771525735381688625,18 306,Potassium - Magnesium Sulfate,11-15-2021,11/16/2022,,11/27/2020
FO8812789736666762,95 981,Potassium - Metaphosphate,12-27-2021,02/05/2022,,09/16/2020
BG07QVOB60284879738859,6 266,Potassium Nitrate,04/08/2021,07/17/2022,,06/07/2020
IL174678009342153752232,31 181,Potassium - Sodium Nitrate,01/09/2022,12/08/2022,,09/16/2020
IE28MOIF28388644453394,6 439,Potassium Sulfate,10-28-2021,02/08/2022,,10/20/2020
TR730816268883418141269779,95 122,Tobacco Stems,01-28-2021,03/29/2022,,11/02/2020
SE1031656601694099873814,55 289,Potash Product - Code Unknown,08-19-2021,07/11/2022,,12/10/2020
AT947404684351884635,29 936,Potash - Code/Grade Unknow,10/09/2021,11/14/2022,,06/25/2020
LU765723414478934415,81 638,"Blood, Dried",05-27-2021,10/18/2022,,10/02/2020
MU5638888364093729787557706382,20 171,name of fertilizer,08-21-2021,03/07/2022,,06/15/2020
